year,competition_name,event_name,final_group,crew_name,organization,rank,time
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final B,安井 晴哉,トヨタ紡織,1,07:18.74
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final B,田村 哲平,愛媛大学,2,07:20.78
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final B,小野田 空羽,松江工業高等専門学校,3,07:21.04
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final B,岡山 凜之,松山東高校,4,07:24.35
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final B,清水 諒,明治安田生命,5,07:30.96
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final B,渡辺 龍一郎,富山国際大学,6,07:30.98
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final A,遠山 秀雄,日本体育大学,1,07:17.10
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final A,佐藤 翔,日本製鉄,2,07:18.77
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final A,岡田 遼太,三重選抜,3,07:21.23
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final A,北野上 隼人,MaxBC,4,07:23.70
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final A,福井 康,仙台大学,5,07:27.70
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子シングルスカル,Final A,菅原 陸翔,日本大学,6,07:29.53
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final B,菅沼 奈津美,龍谷大学,1,08:17.80
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final B,藪本 友結,若狭高校,2,08:19.28
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final B,滝澤 明日花,北陸電気工業,3,08:23.80
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final B,西野 萌恵,富山国際大学,4,08:26.58
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final B,渡邊 夏帆,トヨタRC,5,08:30.68
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final B,土居 あやめ,南山大学,6,08:35.77
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子シングルスカル,Final A,西原 佳,プリントパック,1,07:57.30
